,0
0,0.4960256185816154
1,0.4295247192972294
2,0.29936810526341895
3,0.15064119825078007
4,0.1431644020171167
5,0.07640088412682107
6,0.041459510537356754
7,0.035847314097768306
8,0.05863799321377142
9,0.045734085588514564
10,0.035670525686983964
11,0.05227210872499194
12,0.07229015918824416
13,0.07506253687503235
14,0.07603500911292704
15,0.1347001206060708
16,0.09865654838910222
17,0.091975323416469
18,0.0787956662594377
19,0.07252018156908356
20,0.06864257945534867
21,0.05980103850779333
22,0.06642401302102496
23,0.1403333040655098
24,0.14856386408113786
25,0.1123536695291042
26,0.12689227996281796
27,0.11290873929586433
28,0.10546925325575413
29,0.14944828787081724
30,0.18186788497558645
31,0.2110959373911513
32,0.22066873512362564
33,0.1811686655803553
34,0.19905772141070274
35,0.16464983431623229
36,0.18088919524505606
37,0.18679849100514195
38,0.18226081922825219
39,0.17147561574267273
40,0.18085702547472157
41,0.19887088042683182
42,0.20573681034633204
43,0.1990078916644316
44,0.20249474847762913
45,0.20362325775303558
46,0.1897406712745983
47,0.18457603172289364
48,0.21130495348871203
49,0.19244610383929261
50,0.19007689157291321
51,0.20208477581181647
52,0.19004101996249947
53,0.18716671181084235
54,0.17159787490395115
55,0.17342354306381713
56,0.18327072206697514
57,0.170087113914054
58,0.1703329040922301
59,0.16575309272856178
60,0.15614098019292583
61,0.14920056301302637
62,0.14234795061091138
63,0.15041119438859743
64,0.15324105556358655
65,0.15205608541207885
66,0.13163555851395095
67,0.12389337183295412
68,0.1220361428345986
69,0.12664080483502754
70,0.12364938542537807
71,0.12092213634490845
72,0.11187781425733892
73,0.11118740525522224
74,0.11312332383731764
75,0.10845021189229123
76,0.115410987754299
77,0.1153116254018443
78,0.11817759085913822
79,0.12646665840525656
80,0.11930209152736625
81,0.11736047247332486
82,0.11150563274685478
83,0.10886097445994182
84,0.10929767569883768
85,0.1234761669253665
86,0.1287414759554561
87,0.11150502956961222
88,0.10203183182797913
89,0.09753797122264472
90,0.09338211994092324
91,0.09106847484720247
92,0.08746054939489419
93,0.0854228604799561
94,0.07723666120939594
95,0.07193952756767974
96,0.07506817770058129
97,0.06836187941102208
98,0.066073757784641
99,0.06508879366209258
100,0.06317478736494515
101,0.06567937232647866
102,0.05972922995812513
103,0.05911964437676556
104,0.06432283923479173
105,0.06473220987402087
106,0.06393544643078676
107,0.06420643328654761
108,0.06462337368109695
109,0.06287190363021335
110,0.05693925629928657
111,0.054113525849302596
112,0.050479396961044816
113,0.04896217635184542
114,0.05038069433188252
115,0.051777671537397214
116,0.06136950090169454
117,0.055992727335578786
118,0.05099308864697787
119,0.054751533559194834
120,0.06268652574435114
121,0.07008525646289228
122,0.07815088707358946
123,0.07481961443712855
124,0.07917905371501428
125,0.07481558868032612
126,0.07449130538919421
127,0.06878360178234051
128,0.07134816142045788
129,0.06680224293585366
130,0.06643641064811401
131,0.05954914668292337
132,0.06356561791213873
133,0.06541295535817507
134,0.057859225807953704
135,0.057124207316751836
136,0.06301231724745979
137,0.06729728670681052
138,0.06036275890399271
139,0.06676138741304058
140,0.07415442367546038
141,0.08165737345631834
142,0.07831360877341138
143,0.08139086908849152
144,0.07304215556962088
145,0.08644282865165667
146,0.08410077898146995
147,0.08237581698140416
148,0.09633860036680332
149,0.08686828263685964
150,0.07761686608308127
151,0.07740674609512331
152,0.07583337221956399
153,0.07460420471838776
154,0.09200686893460887
155,0.07896137344635985
156,0.08193265410638123
157,0.08394565048975401
158,0.09138212631334282
159,0.08961763415214388
160,0.10001975327932183
161,0.10382040175999628
162,0.11052131916105054
163,0.10488050367707724
164,0.09093570988872335
165,0.08156209138191582
166,0.07240311014010135
167,0.0931480331905615
168,0.08761357154350222
169,0.08723405363079753
170,0.07879161765117634
171,0.07688626244142151
172,0.07053315852380658
173,0.069562756897011
174,0.06667669594566522
175,0.06271908588322742
176,0.06266957795593765
177,0.08067794476303954
178,0.08298447195022973
179,0.09475278397157431
180,0.09789330678884575
181,0.10377554884305941
182,0.09970575008930543
183,0.10064647422257979
184,0.10382149928987837
185,0.11622858325095228
186,0.11139556774296738
187,0.12475119196172627
188,0.12020281755690307
189,0.13533837364906526
190,0.12549999363679368
191,0.11948136305780153
192,0.12497046729223717
193,0.13146543111941955
194,0.1037165730215346
195,0.10743696286269057
196,0.1038622895117544
197,0.11207425814644505
198,0.12914353886213745
199,0.1031923551846968
200,0.09671866126490312
201,0.0956629893620839
202,0.10191925383013381
203,0.12124102466246256
204,0.10365299823015739
205,0.11466531311429558
206,0.11369885471278326
207,0.08363822636232447
208,0.08480258095254137
209,0.0825412905066469
210,0.08724332546807517
211,0.10037579794834045
212,0.09467255108188428
213,0.10084270833869696
214,0.09339998003467502
215,0.10358748351296868
216,0.09241721897671118
217,0.09622842041097054
218,0.09915415714448293
219,0.1088696109215797
220,0.10802445715652186
221,0.12584635003234626
222,0.10469541031409295
