,0
694,5076
695,4988
696,4678
697,4436
698,4072
699,3923
700,3628
701,3554
702,3492
703,3306
704,3125
705,2925
706,2805
707,2585
708,2589
709,2553
710,2442
711,2372
712,2210
713,2116
714,2004
715,1963
716,1868
717,1842
718,1766
719,1660
720,1548
721,1521
722,1524
723,1495
724,1398
725,1357
726,1272
727,1191
728,1118
729,1095
730,1093
731,1040
732,1017
733,992
734,970
735,908
736,910
737,950
738,935
739,893
740,889
741,852
742,829
743,834
744,863
745,828
746,837
747,848
748,851
749,852
750,849
751,895
752,911
753,956
754,991
755,1016
756,1043
757,1064
758,1124
759,1173
760,1199
761,1232
762,1258
763,1268
764,1292
765,1408
766,1402
767,1450
768,1500
769,1565
770,1543
771,1597
772,1729
773,1780
774,1817
775,1918
776,1915
777,1861
778,1932
779,2014
780,2084
781,2105
782,2210
783,2195
784,2166
785,2232
786,2322
787,2361
788,2307
789,2314
790,2361
791,2359
792,2440
793,2581
794,2661
795,2620
796,2612
797,2560
798,2424
799,2480
800,2631
801,2589
802,2442
803,2416
804,2365
805,2232
806,2226
807,2268
808,2424
809,2405
810,2333
811,2200
812,2071
813,2082
814,2094
815,2014
816,1998
817,1959
818,1917
819,1868
820,1842
821,1907
822,1896
823,1914
824,1869
825,1858
826,1744
827,1752
828,1802
829,1818
830,1816
831,1827
832,1820
833,1791
834,1865
835,1985
836,2005
837,1961
838,1983
839,1973
840,1960
841,2046
842,2106
843,2206
844,2250
845,2264
846,2311
847,2249
848,2258
849,2368
850,2389
851,2437
852,2443
853,2431
854,2411
855,2441
856,2551
857,2565
858,2628
859,2639
860,2655
861,2580
862,2595
863,2677
864,2719
865,2760
866,2733
867,2661
868,2569
869,2585
870,2665
871,2668
872,2620
873,2542
874,2544
875,2471
876,2496
877,2584
878,2542
879,2521
880,2500
881,2461
882,2422
883,2452
884,2518
885,2489
886,2464
887,2457
888,2372
889,2281
890,2287
891,2397
892,2377
893,2417
894,2363
895,2318
896,2241
897,2250
898,2340
899,2326
900,2296
901,2227
902,2160
903,2034
904,2071
905,2116
906,2252
907,2224
908,2188
909,2165
910,2048
911,2098
912,2183
913,2150
914,2140
915,2057
916,2013
917,1955
918,1994
919,2109
920,2160
921,2212
922,2159
923,2131
924,2066
925,2112
926,2250
927,2236
928,2247
929,2307
930,2296
931,2204
932,2240
933,2370
934,2384
935,2432
936,2401
937,2413
938,2375
939,2410
940,2528
941,2596
942,2636
943,2701
944,2711
945,2632
946,2699
947,2832
948,2781
949,2761
950,2760
951,2750
952,2637
953,2692
954,2761
955,2794
956,2807
957,2800
958,2764
959,2639
960,2636
961,2762
962,2807
963,2806
964,2778
965,2736
966,2666
967,2741
968,2889
969,2852
970,2784
971,2678
972,2649
973,2605
974,2623
975,2714
976,2719
977,2672
978,2592
979,2625
980,2612
981,2692
982,2868
983,2824
984,2754
985,2663
986,2801
987,2871
988,2958
989,3075
990,3176
991,3218
992,3215
993,3154
994,3080
995,3170
996,3325
997,3385
998,3365
999,3419
1000,3388
1001,3332
1002,3292
1003,3516
1004,3512
1005,3515
1006,3668
1007,3611
1008,3528
1009,3684
1010,3778
1011,3842
1012,3779
1013,3711
1014,3610
1015,3488
1016,3503
1017,3632
1018,3830
1019,3911
1020,3932
1021,3928
1022,3834
1023,3913
1024,4112
1025,4269
1026,4252
1027,4174
1028,4042
1029,3895
1030,3887
1031,3951
1032,3909
1033,3663
1034,3520
1035,3452
1036,3375
1037,3393
1038,3449
1039,3501
1040,3340
1041,3247
1042,3148
1043,3001
1044,3045
1045,3129
1046,2957
1047,2894
1048,2810
1049,2716
1050,2571
1051,2636
1052,2674
1053,2652
1054,2576
1055,2462
1056,2396
1057,2296
1058,2348
1059,2405
1060,2357
1061,2237
1062,2154
1063,2104
1064,2023
1065,2081
1066,2148
1067,2167
1068,2137
1069,2096
1070,2027
1071,1952
1072,2000
1073,1973
1074,2051
1075,1982
1076,1933
1077,1851
1078,1786
1079,1835
1080,1883
1081,1814
1082,1755
1083,1717
1084,1651
1085,1592
1086,1580
1087,1656
1088,1644
1089,1591
1090,1492
1091,1422
1092,1371
1093,1376
1094,1420
1095,1355
1096,1354
1097,1337
1098,1281
1099,1236
1100,1240
1101,1271
1102,1241
1103,1195
1104,1149
1105,1121
1106,1055
1107,1077
1108,1117
1109,1072
1110,1029
1111,986
1112,946
1113,925
1114,947
1115,987
1116,968
1117,969
1118,920
1119,919
1120,862
1121,856
1122,892
1123,891
1124,881
1125,873
1126,837
1127,778
1128,780
1129,832
1130,815
1131,795
1132,771
1133,713
1134,697
1135,688
1136,680
1137,677
1138,659
1139,622
1140,638
1141,609
1142,650
1143,667
1144,630
1145,606
1146,598
1147,586
1148,568
1149,565
1150,573
1151,575
1152,544
1153,538
1154,538
1155,523
1156,532
