,0,1,2,3,4,5
183,42228,91449,75762,85271,37983,94928
184,20712,45606,36745,43782,19338,47578
185,40649,92086,74201,87951,39575,93049
186,20151,45964,36133,44929,19988,45650
187,39124,91328,72229,90940,40838,89446
188,18734,46239,36192,46700,20802,45190
189,37271,91561,72727,94289,42152,88235
190,17974,45123,34804,47637,21237,42553
191,35308,89889,69173,95863,43082,83387
192,17147,44468,32825,48179,21601,40195
193,33725,88080,65474,96120,43814,78922
194,16434,43720,31512,48224,21933,38567
195,32031,86858,62089,96804,43872,75560
196,15902,42521,29906,48633,22341,36851
197,30935,84995,59938,97815,44636,71112
198,14700,41881,28348,49390,22362,34660
199,29340,83152,57212,97743,45197,66864
200,14122,40808,27304,48570,22225,32369
201,27944,80024,53983,96829,44380,63291
202,13718,38964,25660,47892,21905,30310
203,27151,77687,50358,94599,44027,58849
204,13231,37693,23987,47682,21898,29065
205,26346,75109,47941,94112,43907,56664
206,12749,36239,22313,46965,21729,27344
207,25071,72524,44894,93815,43234,52838
208,12108,35222,20974,44808,21107,25195
209,23762,69120,41077,89159,42475,48360
210,11710,33664,19155,43666,20698,23498
211,23000,67351,38087,87067,41321,45599
212,11157,32562,18254,42602,20294,22408
213,21872,64054,36194,84125,40428,42521
214,10814,31330,17294,41394,20062,20986
215,21327,62443,34001,82263,39898,40609
216,10676,29421,15833,39821,19314,19394
217,20598,58607,31091,78533,38468,37616
218,10063,28073,14531,37964,18379,17992
219,20290,55548,29053,74611,36543,34780
220,9800,26756,13510,36152,17890,16660
221,19502,52424,26825,70829,35053,32117
222,9659,25450,12753,34304,16869,15511
223,18582,50620,24885,68030,33517,30057
224,9189,24191,11651,33557,16489,14779
225,17942,47999,23557,65306,32633,28356
226,8835,23735,11227,31697,15669,13931
227,17417,45729,22157,62251,31230,27019
228,8480,21866,10432,29942,14680,12690
229,16875,43206,20539,59162,29805,24867
230,8408,20623,9742,28387,13920,11828
231,16512,41040,18736,56063,28478,23000
232,8211,19694,9088,27210,13539,11347
233,16255,38443,17839,53028,27016,21779
234,7848,18807,8511,25694,12979,10573
235,15734,37063,16625,50700,25704,20506
236,7637,17942,7946,24428,12401,10008
237,14979,35270,15848,47670,24785,19393
238,7337,17023,7245,23122,11557,9406
239,14734,33019,14386,45028,23007,18066
240,7172,15934,6833,21329,10993,8585
241,14398,31256,13550,42332,21767,16657
242,7003,15174,6419,20100,10527,8124
243,14095,29642,12812,39613,20432,15632
244,6727,14143,6007,19064,9966,7653
245,13594,27734,11894,37314,19510,14674
246,6842,13536,5664,18203,9295,7183
247,13347,26453,11500,35374,18452,14110
248,6643,12595,5460,16835,8817,6769
249,13034,24937,10525,33222,17426,12928
250,6335,12243,5000,16010,8206,6283
251,12688,23591,9902,31340,16588,12530
252,6126,11361,4790,15094,7960,6186
253,12153,22258,9458,29428,15446,11810
254,6157,10754,4339,14461,7355,5655
255,12078,20998,8825,27719,14482,11012
256,6091,10167,4201,13291,6932,5511
257,11999,20142,8126,26493,13810,10326
258,5703,9709,3802,12801,6573,5102
259,11456,18882,7755,24737,13048,10203
260,5851,9202,3744,12032,6266,5038
261,11515,18089,7316,23563,12210,9606
262,5678,8983,3435,11352,5936,4539
263,10947,17202,6826,22392,11798,8901
264,5513,8173,3270,10771,5557,4464
265,10807,16457,6574,20867,11072,8593
266,5423,7840,3193,10222,5470,4167
267,10677,15850,6246,20148,10496,8125
268,5283,7535,3016,9678,5051,3973
269,10585,15025,5913,19108,9965,7818
270,5339,7232,2731,9157,4799,3754
271,10190,14032,5460,17937,9447,7448
272,4966,6804,2634,8683,4593,3619
273,10083,13683,5287,17037,8917,7056
274,5074,6703,2538,8335,4331,3447
275,10063,12923,5001,16269,8584,6763
276,4927,6407,2426,7845,4072,3342
277,9965,12485,4778,15547,8125,6484
278,4972,6150,2355,7607,3862,3138
279,9821,11826,4653,14468,7722,6310
280,4968,5869,2300,7162,3739,3092
281,9816,11588,4475,13828,7354,5960
282,4847,5651,2152,6852,3543,3011
283,9645,11182,4150,13581,7213,5671
284,4836,5306,1998,6634,3514,2820
285,9269,10706,3970,12750,6848,5570
286,4690,5189,1895,6246,3212,2672
287,9416,10223,3790,12174,6479,5265
288,4707,4855,1928,5977,3013,2606
289,9369,9560,3776,11701,6174,5059
290,4567,4646,1785,5634,2887,2496
291,9255,9251,3596,10732,5906,4831
292,4623,4485,1666,5370,2711,2486
293,9274,8859,3206,10517,5356,4598
294,4655,4399,1653,5161,2618,2288
295,9133,8726,3350,10035,5221,4508
296,4612,4242,1587,4770,2626,2243
297,9062,8275,3070,9501,5165,4386
298,4550,3912,1554,4612,2549,2232
299,8937,7900,3021,9303,4985,4182
