,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,3627,4011,4342,4778,5230,5796,6428,7206,8048,8812,9834,10881,12141,13346,14937,16375,17831,19871,22022,24564,26755,29904,33275,36335,39794,43524,48146,52901,57516,62720,68821,75570,81572,89090,96994,105666,113878,122506,133878,143706,152460,163640,173065,182423,194143,205712,214466,222418,230992,236469,242830,250530,255803,257871,260599,262449,263087,262986,259247,253792,249873,246729,245176,237126,229966,222159,215949,208986,202309,194333,187563,179718,172341,163932,154079,147008,139436,131890,124306,117947,113458,107534,102034,96879,91977,87626,83112,78574,74701,70805,66721,63888,61361,59275,56005,53282,50872,48465,46837,44040,42066,40869,39577,37820,35870,34710,33029,32141,31274,30353,29302,28241,27131,26252,25355,24920,24466,23582,22616,22071,21570,21098,20321,20189,19677,19023,18279,18235,18090,17159,17366,16625,16320,16100,15868,15529,15049,15137,14892,14793,14784,14492,14105,14106,14076,13822,13897,13788,13674,13487
1,2,1,2,2,12,13,6,12,15,25,29,23,35,27,25,56,48,68,88,96,105,109,123,154,187,203,240,291,305,352,441,513,578,644,740,864,997,1166,1297,1486,1678,1862,2291,2676,2955,3230,3692,4265,4814,5410,6077,6824,7426,8357,9484,10448,11601,13118,14558,16145,17670,19790,22503,24714,27168,29660,32856,36147,40209,44304,48349,52082,56269,61094,65401,70945,75916,81732,86441,92296,99510,104457,110401,113748,118500,122169,124987,127228,131111,133546,135712,137077,137692,137292,137800,135012,132548,130578,127516,125033,120832,116651,112802,108763,104342,101015,96616,93773,88028,83621,79180,76070,72190,69464,65072,61663,58137,55870,53212,50042,47190,44816,41877,39989,37532,35834,33619,31752,30309,28591,27291,26185,24630,23690,22560,21264,20487,19626,18892,17976,17457,16833,16012,15412,14415,13897,13344,13125,12517,11812
2,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,3,3,8,7,17,12,19,10,21,23,37,36,43,57,63,72,107,122,144,146,190,237,281,313,365,397,480,514,653,753,865,983,1250,1432,1721,2012,2270,2617,3135,3627,4245,4812,5564,6470,7710,8263,9731,11333,12889,14538,16532,18333,21043,24385,27620,31376,34546,38448,43397,48208,53525,59876,65300,71692,77039,83690,90842,96095,102080,105420,108705,110141,112865,114199,115864,113604,113145,110946,108362,108919,103977,98299,93601,89844,85560,81287,76018,71928,67207,62051,57242,54448,51295,46924,43584,40335,37638,35208,33384,30971,28478,26927,25136,23794,21631,20383,19231,17901,17164,15985,14902,14248,13164,12327,11557,11060,10261,9844,9439,8929,8191,7921,7539,7204,7008,6775,6302,5968,5685,5704,5381,4872,5003,4657,4575
3,0,0,0,1,0,0,0,1,3,4,1,7,11,10,13,11,21,15,23,25,36,44,44,52,58,83,94,100,113,119,167,169,179,240,272,331,355,396,463,543,598,718,795,934,1044,1147,1325,1501,1741,2034,2194,2483,2554,3064,3683,4080,4490,5092,5684,6562,7274,8172,9426,10834,11875,13098,14694,16744,18946,21228,23943,26445,29062,32090,35869,39901,44206,48700,53699,58089,64227,70589,76637,82074,88321,93958,98695,103972,111685,116984,120921,127396,131733,135869,140989,143500,144299,145028,146448,147133,145399,142491,141794,140780,133967,130733,126727,123657,118354,112575,106981,102334,98863,93948,89104,84450,80238,76394,72098,68150,63661,59713,56378,53577,50057,47350,44522,42180,39784,37538,35595,33744,31638,30370,28786,27094,25720,24604,23392,22075,20990,20433,19384,18420,17678,16366,15887,15196,14271,13915
4,0,0,0,1,1,0,1,3,1,3,3,1,2,1,6,7,7,9,7,16,16,13,17,22,34,37,33,50,48,56,79,90,122,129,148,167,216,205,290,315,365,416,448,502,557,583,722,813,886,1085,1212,1363,1490,1699,2009,2241,2465,2731,3029,3386,3702,4213,4737,5334,5720,6490,7178,8053,8944,9902,11120,12125,13295,14676,16119,17682,19715,21604,23740,25648,28399,30884,33271,35726,38474,41019,42939,45558,48846,51200,53668,56774,58913,60826,62954,64319,65415,65805,66977,67559,66605,65932,65805,64963,63582,62019,60722,59960,57782,54922,52943,50386,49122,46899,44485,42398,40555,38683,37186,34564,32760,30959,29476,27747,26243,24794,23406,21837,20742,19621,18476,17734,16629,15966,15016,14246,13510,12915,12197,11584,11093,10756,10362,9691,9187,8793,8067,7839,7791,7534
5,1,0,1,3,4,4,7,9,12,11,17,17,15,12,16,22,21,26,36,39,40,54,63,73,93,103,144,150,190,201,255,320,325,425,470,558,682,779,866,1061,1156,1336,1574,1908,2107,2408,2756,3153,3597,4114,4731,5251,6162,6995,8129,9328,10645,12133,13671,15895,17408,19919,22936,26147,29038,32085,36038,40626,45591,51555,57895,62373,68506,75662,82547,89766,98910,106023,113809,120139,128800,136104,141921,146920,148837,151039,150284,151281,151609,149846,145645,143345,140627,135096,133425,125940,119117,114127,107963,101524,95660,89159,85729,80182,73555,69097,64929,61595,57010,52772,48777,45568,43135,40950,37557,34828,33126,31079,29401,27472,25242,23756,22327,21293,19697,18813,17996,16667,15837,15305,14644,13440,13057,12292,11791,11202,10675,10210,9826,9448,9052,8682,8390,7937,7665,7327,7084,6796,6629,6414
