,0
0,694.6310655203404
1,716.5656701133792
2,739.967195942519
3,764.9106958833419
4,791.4738068524275
5,819.7361053242832
6,849.7782562301799
7,881.6809139852796
8,915.5233315614785
9,951.3816329467638
10,989.3267073732754
11,1029.4216920498254
12,1071.7190257179811
13,1116.2570800547096
14,1163.0564111882932
15,1212.1157196654985
16,1263.4076624388729
17,1316.8747203911166
18,1372.4253818681284
19,1429.930945945158
20,1489.223266445401
21,1550.0937380306837
22,1612.2937628129005
23,1675.5368319386473
24,1739.5022232411518
25,1803.840173170774
26,1868.178251923345
27,1932.1285750878
28,1995.2954352408033
29,2057.282934943351
30,2117.702242876258
31,2176.178167526199
32,2232.3548368362763
33,2285.9003762848492
34,2336.510580044496
35,2383.9116575319226
36,2427.862198770928
37,2468.1545279931297
38,2504.615603588133
39,2537.107579487423
40,2565.5280809002647
41,2589.8101826013226
42,2609.922027137298
43,2625.865995577244
44,2637.6773498950233
45,2645.422300921318
46,2649.1955095872454
47,2649.117088792179
48,2645.3292255191627
49,2637.99257776042
50,2627.2826133308354
51,2613.386047904897
52,2596.4975120078248
53,2576.816538138123
54,2554.544917302478
55,2529.8844357743365
56,2503.034972743666
57,2474.1929202404167
58,2443.5498784640313
59,2411.29158068101
60,2377.5970091910895
61,2342.637674149875
62,2306.577037271752
63,2269.5700704961905
64,2231.7629445366033
65,2193.2928437884575
66,2154.287903005533
67,2114.867258465519
68,2075.1412030771226
69,2035.2114318821914
70,1995.1713622392733
71,1955.1065119021357
72,1915.0949182448849
73,1875.207582883038
74,1835.5089276547096
75,1796.0572500871906
76,1756.9051688262418
77,1718.100051834973
78,1679.684422317213
79,1641.6963391848462
80,1604.1697504206227
81,1567.1348188823529
82,1530.618220978995
83,1494.6434192719566
84,1459.2309104726564
85,1424.3984505751105
86,1390.1612590265088
87,1356.5322039332318
88,1323.5219703450866
89,1291.1392136657605
90,1259.3907002037445
91,1228.2814368025342
92,1197.8147913690125
93,1167.9926059544935
94,1138.8153038380817
95,1110.2819918253106
96,1082.3905587184547
97,1055.1377706525589
98,1028.519363737432
99,1002.5301342137684
100,977.1640261317986
101,952.4142164008935
102,928.2731969423322
103,904.7328536056152
104,881.7845414790551
105,859.4191562333552
106,837.6272011763192
107,816.3988497606015
108,795.7240033669648
109,775.5923442754156
110,755.9933838289774
111,736.9165058835881
112,718.3510057177031
113,700.2861246427436
114,682.711080607998
115,665.6150951295714
116,648.9874168923371
117,632.8173423773995
118,617.0942338570878
119,601.807535077327
120,586.9467849162407
121,572.5016292710229
122,558.461831385549
123,544.8172807916837
124,531.5580010002784
125,518.6741560454201
126,506.1560559590773
127,493.9941612337335
128,482.17908631824133
129,470.70160218674624
130,459.5526380214716
131,448.7232820564085
132,438.2047816392714
133,427.9885425820524
134,418.0661278847089
135,408.42925593056276
136,399.06979826461685
137,389.9797770761562
138,381.15136251383336
139,372.5768699643795
140,364.2487574247711
141,356.1596230920423
142,348.30220328508096
143,340.66937079901857
144,333.25413377568543
145,326.04963515369593
146,319.04915273972836
147,312.24609991925803
148,305.634027001178
149,299.20662316719216
150,292.95771897436595
151,286.8812893384936
152,280.9714569076325
153,275.22249571984344
154,269.62883502730455
155,264.18506316088906
156,258.88593130521343
157,253.72635705414896
158,248.7014276207853
159,243.80640258361916
160,239.03671606200479
161,234.38797822817676
162,229.85597607991483
163,225.43667341653247
164,221.12620998068516
165,216.92089974881802
166,212.81722837323656
167,208.81184979815083
168,204.9015820900299
169,201.0834025387219
170,197.35444209963543
171,193.71197925855662
172,190.15343340920447
173,186.67635783933656
174,183.27843242414102
175,179.9574561259161
176,176.7113393968528
177,173.53809657737315
178,170.43583837625664
179,167.402764511062
180,164.4371565784824
181,161.5373712146264
182,158.70183359513496
183,155.92903131485576
184,153.21750867677676
185,150.565861410324
186,147.97273183015076
187,145.43680443834472
188,142.95680196566622
189,140.53148184107755
190,138.15963307345913
191,135.84007352503258
192,133.57164755259785
193,131.35322399018315
194,129.183694445038
195,127.06197187798689
196,124.98698943891605
197,122.95769952849136
198,120.97307305801432
199,119.03209888051876
200,117.13378336770943
201,115.27715010906867
202,113.46123971133204
203,111.68510967849957
204,109.9478343545488
205,108.24850491300519
206,106.58622937946478
207,104.96013267502504
208,103.36935667033963
209,101.81306024165306
210,100.29041932168258
211,98.8006269395917
212,97.34289324553654
213,95.91644551636901
214,94.52052814004888
215,93.15440257715925
216,91.8173472986418
217,90.50865769947923
218,89.2276459885607
219,87.97364105538337
220,86.74598831457352
221,85.54404952947066
222,84.36720261621072
