,0,1,2,3,4,5
109,128334.0,14438.0,1649.0,226.0,468.0,60755.0
110,120016.0,15743.0,1693.0,191.0,814.0,67390.0
111,118927.0,14422.0,2359.0,422.0,771.0,76801.0
112,112404.0,15981.0,2826.0,397.0,642.0,85898.0
113,109556.0,15945.0,2315.0,393.0,752.0,88418.0
114,107993.57,17262.364,2348.45,420.276,503.99,98590.62
115,101160.0,17874.0,2997.0,476.0,568.0,106645.0
116,97644.0,19085.0,3939.0,423.0,499.0,109794.0
117,90754.0,20648.0,4065.0,402.0,622.0,117826.0
118,90083.0,19330.0,4085.0,597.0,722.0,120975.0
119,87477.0,22444.0,4704.0,626.0,671.0,128514.0
120,84769.649,22207.655,4581.222,777.966,509.382,132605.179
121,80372.0,23614.0,5748.0,938.0,543.0,135835.0
122,83493.0,27584.0,4997.0,941.0,598.0,142024.0
123,76162.0,28164.0,6625.0,1109.0,643.0,139638.0
124,79653.0,29370.0,7233.0,1451.0,755.0,145391.0
125,76151.0,31811.0,6805.0,1590.0,789.0,137290.0
126,76493.0,34498.0,8255.0,1745.0,860.0,136142.0
127,74770.0,39524.0,8040.0,1874.0,808.0,133789.0
128,67793.0,38817.0,8748.0,1396.0,964.0,129583.0
129,72999.0,41536.0,9478.0,1165.0,1083.0,127383.0
130,72521.0,46161.0,10655.0,1138.0,1272.0,118638.0
131,72621.0,52325.0,11392.0,1616.0,1578.0,109115.0
132,69841.0,52559.0,12772.0,1909.0,1334.0,111151.0
133,64139.0,57676.0,12482.0,1675.0,1353.0,96484.0
134,64902.0,60762.0,14106.0,2449.0,1434.0,92829.0
135,70286.0,68374.0,13733.0,2096.0,1216.0,90056.0
136,66070.0,72829.0,14388.0,2349.0,1347.0,87205.0
137,69161.0,74648.0,14251.0,1708.0,1297.0,80473.0
138,65442.0,79758.0,14687.0,2102.0,1601.0,79044.0
139,62029.0,93344.0,15017.0,2020.0,2064.0,73549.0
140,62245.0,94977.0,15820.0,2342.0,1991.0,73474.0
141,67962.0,99928.0,15997.0,2440.0,2173.0,68902.0
142,65508.0,109629.0,19532.0,2385.0,1894.0,62148.0
143,64401.0,115294.0,19398.0,2980.0,2490.0,56893.0
144,63446.0,119916.0,16757.0,3023.0,2336.0,54445.0
145,64334.0,128647.0,19846.0,2086.0,2372.0,54311.0
146,63295.0,125550.0,19344.0,2015.0,2531.0,53689.0
147,71275.0,128141.0,19255.0,2477.0,2338.0,50418.0
148,68201.0,140421.0,20098.0,1873.0,2905.0,45500.0
149,67669.0,135172.0,19254.0,2202.0,2862.0,48739.0
150,68607.0,138436.0,18625.0,2487.0,3154.0,44919.0
151,71945.76,140619.196,17941.324,3296.37,3253.555,46002.763
152,72378.0,148850.0,18900.0,2835.0,3399.0,43079.0
153,76435.0,140941.0,22893.0,2837.0,4015.0,45158.0
154,73983.0,138344.0,22252.0,3242.0,4069.0,40022.0
155,75935.0,138914.0,22154.0,3386.0,3937.0,38468.0
156,73682.804,134480.373,22296.034,3738.194,4143.209,40422.516
157,80697.0,125348.0,23157.0,3667.0,5165.0,44798.0
158,72419.0,123129.0,25479.0,3293.0,5377.0,42196.0
159,78784.0,128388.0,23633.0,3212.0,5650.0,46210.0
160,84728.0,116750.0,23016.0,3374.0,6657.0,41884.0
161,82464.0,113051.0,24247.0,3195.0,7715.0,43296.0
162,87290.0,111634.0,23445.0,3009.0,6325.0,41265.0
163,91356.0,105510.0,26019.0,3055.0,9180.0,41998.0
164,87266.0,99499.0,22186.0,2934.0,8495.0,37814.0
165,87583.796,94628.47,28390.432,3777.128,7014.332,42208.634
166,90368.0,93812.0,23418.0,3418.0,7257.0,43919.0
167,93478.0,91710.0,25940.0,4290.0,9316.0,43251.0
168,94794.0,88401.0,26060.0,3733.0,8858.0,39866.0
169,97180.0,81248.0,25631.0,3375.0,8137.0,42001.0
170,100857.0,82285.0,25568.0,3835.0,8385.0,44970.0
171,100069.0,77273.0,27246.0,4739.0,11467.0,46791.0
172,108713.0,76540.0,27839.0,4571.0,12633.0,45490.0
173,107084.0,64948.0,26135.0,4390.0,11152.0,46196.0
174,109623.0,69988.0,28879.0,4783.0,10652.0,49354.0
175,108043.0,65493.0,27805.0,4074.0,12172.0,46995.0
176,109395.0,61571.0,27140.0,3759.0,12170.0,55625.0
177,112728.0,55089.0,26691.0,4347.0,13404.0,54828.0
178,110509.0,51839.0,25829.0,5463.0,12677.0,55582.0
179,121138.0,54401.0,26360.0,4609.0,14639.0,54776.0
180,122097.0,58476.0,27358.0,3359.0,12823.0,55165.0
181,117662.0,55048.0,28135.0,4493.0,14378.0,61277.0
182,117862.0,48553.0,26317.0,5226.0,16893.0,64035.0
183,125685.0,50664.0,25931.0,4364.0,16001.0,61286.0
184,124738.0,43646.0,26593.0,5653.0,17817.0,64656.0
185,117679.0,45033.0,24666.0,6606.0,17414.0,66047.0
186,129698.0,42614.0,24531.0,5203.0,13805.0,68189.0
187,125508.0,45345.0,26889.0,4770.0,17155.0,64345.0
188,123815.0,45111.0,26049.0,5918.0,15562.0,66518.0
189,135450.0,46916.0,23823.0,4845.0,15962.0,71094.0
190,128514.0,47274.0,25511.0,4613.0,20038.0,71631.0
191,131285.0,44489.0,24912.0,5112.0,21685.0,71849.0
192,135404.0,41984.0,22857.0,4200.0,21518.0,72815.0
193,125175.0,41911.0,24766.0,5311.0,20144.0,75951.0
194,127258.0,38958.0,23537.0,6235.0,19018.0,74446.0
195,137724.0,39512.0,25604.0,5963.0,16735.0,70366.0
196,134975.0,39797.0,23607.0,5619.0,19707.0,80044.0
197,123694.0,43345.0,22848.0,5775.0,16926.0,74148.0
198,129068.0,42446.0,22145.0,6532.0,18208.0,72096.0
199,121758.0,43198.0,23488.0,5395.0,17532.0,73881.0
200,124177.0,44231.0,24718.0,5890.0,19298.0,71655.0
201,122291.0,43130.0,20091.0,6342.0,20304.0,68955.0
