,0
0,9.900990099009901
1,10.474865112234193
2,11.080328826006014
3,11.718916655214846
4,12.392213636941685
5,13.101852740188331
6,13.849512615952534
7,14.636914718689233
8,15.465819725172224
9,16.338023171843716
10,17.255350227027222
11,18.219649510022045
12,19.232785865262677
13,20.29663199660975
14,21.413058864669697
15,22.583924749080147
16,23.81106287824588
17,25.096267531399825
18,26.44127852246541
19,27.84776398241513
20,29.31730136708868
21,30.851356631212266
22,32.45126152712065
23,34.11818900890355
24,35.85312674984093
25,37.656848813489376
26,39.52988555700803
27,41.47249188955368
28,43.484614058996264
29,45.56585519681349
30,47.71543991361655
31,49.9321783058906
32,52.214429807455915
33,54.56006739577821
34,56.96644274209858
35,59.43035297351093
36,61.948009792232924
37,64.51501176958075
38,67.12632069631087
39,69.77624292336654
40,72.4584166636647
41,75.16580624215659
42,77.89070427369383
43,80.62474271204825
44,83.35891364493058
45,86.08360060580401
46,88.78862103136592
47,91.46328031265594
48,94.09643766821264
49,96.67658381168854
50,99.19193009796753
51,101.63050851733828
52,103.98028157503686
53,106.2292607538796
54,108.3656319229424
55,110.3778857388512
56,112.25495080258308
57,113.9863270981948
58,115.56221706436864
59,116.9736515473088
60,118.21260786415449
61,119.27211727631861
62,120.14635933479441
63,120.83074081297408
64,121.32195728087866
65,121.61803578747681
66,121.71835759052742
67,121.62366038832653
68,121.33602004466705
69,120.85881233573
70,120.19665576391859
71,119.3553369583882
72,118.34172059705371
73,117.1636461253031
74,115.82981380164603
75,114.34966276368048
76,112.73324387729318
77,110.9910901105776
78,109.13408706824713
79,107.17334614238172
80,105.12008249376585
81,102.98549978910265
82,100.78068329800935
83,98.51650261479335
84,96.20352492759164
85,93.85193942407719
86,91.47149310923737
87,89.07143802516983
88,86.66048961159841
89,84.24679573281405
90,81.8379157238251
91,79.44080867564814
92,77.06183008531814
93,74.70673593757063
94,72.38069325858241
95,70.08829618341987
96,67.83358660342383
97,65.62007850309904
98,63.45078515377981
99,61.32824839931748
